ls;kv;hv;gv;e;date
110001;1;119;7;;2024-10-25
110003;3;106;5;;2024-10-25
110004;4;357;142;;2024-10-25
110005;5;199;2;;2024-10-25
110007;7;189;;;2024-10-25
110008;8;691;106;;2024-10-25
110010;10;333;187;;2024-10-25
110011;11;39;144;;2024-10-25
110013;13;84;91;;2024-10-25
110014;14;57;179;;2024-10-25
110016;16;197;77;;2024-10-25
110018;18;857;48;;2024-10-25
110019;19;628;185;;2024-10-25
110020;20;829;390;;2024-10-25
110021;21;195;110;;2024-10-25
110022;22;57;12;;2024-10-25
110023;23;836;155;;2024-10-25
110024;24;317;50;;2024-10-25
110025;25;129;1,084;;2024-10-25
110026;26;104;48;;2024-10-25
110027;27;13;89;;2024-10-25
110028;28;106;32;;2024-10-25
110032;32;32;32;;2024-10-25
110033;33;692;267;;2024-10-25
110034;34;86;51;;2024-10-25
110035;35;81;3;;2024-10-25
110036;36;564;260;;2024-10-25
110037;37;607;257;;2024-10-25
110039;39;217;14;;2024-10-25
110040;40;220;112;;2024-10-25
110041;41;139;2;;2024-10-25
110042;42;503;123;;2024-10-25
110043;43;240;71;;2024-10-25
110044;44;134;234;;2024-10-25
110045;45;814;358;;2024-10-25
110047;47;292;119;;2024-10-25
110048;48;35;2,241;;2024-10-25
110049;49;948;398;;2024-10-25
110050;50;258;1,3;;2024-10-25
110051;51;76;227;;2024-10-25
110052;52;100;44;;2024-10-25
110053;53;237;87;;2024-10-25
110054;54;468;275;;2024-10-25
110055;55;134;68;;2024-10-25
110056;56;340;1,51;;2024-10-25
110057;57;872;193;;2024-10-25
110061;61;381;1,642;;2024-10-25
110062;62;135;57;;2024-10-25
110064;64;246;245;;2024-10-25
110066;66;232;107;;2024-10-25
110067;67;89;1,373;;2024-10-25
110068;68;104;1,616;;2024-10-25
110069;69;214;89;;2024-10-25
110070;70;616;422;;2024-10-25
110074;74;34;35;;2024-10-25
110076;76;334;;;2024-10-25
110077;77;85;1,13;;2024-10-25
110078;78;27;17;;2024-10-25
110079;79;989;5;;2024-10-25
110080;80;103;1,175;;2024-10-25
110081;81;1559;178;;2024-10-25
110082;82;601;3;;2024-10-25
110083;83;62;57;;2024-10-25
110084;84;14;46;;2024-10-25
110085;85;;5;;2024-10-25
110086;86;33;11;;2024-10-25
110087;87;206;159;;2024-10-25
110088;88;424;76;;2024-10-25
110089;89;703;83;;2024-10-25
110090;90;397;38;;2024-10-25
110091;91;319;109;;2024-10-25
110093;93;25;11;;2024-10-25
110094;94;91;40;;2024-10-25
110096;96;135;80;;2024-10-25
110097;97;56;36;;2024-10-25
110098;98;283;1,061;;2024-10-25
110100;100;1,236;1,608;;2024-10-25
